id,darija,translit_darija,fr,module,msa,translit_msa,notes
cmo8hyi6u00gi4ey16rv8jnwg,بَلَدِيَّة,baladiya,mairie,Abu Dhabi - Vocabulaire — Lieux,بَلَدِيَّة,baladiyya,
cmo8hyi6u00g34ey1sojc7csu,دْوَار,douar,village,Abu Dhabi - Vocabulaire — Lieux,قَرْيَة,qarya,
cmo8hyi6u00g44ey1bwcndthk,سَاحَة,sa7a,place (publique),Abu Dhabi - Vocabulaire — Lieux,سَاحَة,sāḥa,
cmo8hyi7300gp4ey179ycrwmp,سِجْن,sjn,prison,Abu Dhabi - Vocabulaire — Lieux,سِجْن,sijn,
cmo8hyi6u00g74ey1sdcypmoa,سُوق,souq,marché,Abu Dhabi - Vocabulaire — Lieux,سُوق,sūq,
cmo8hyi6u00gk4ey1jt0jd7s4,سِينِمَا,cinima,cinéma,Abu Dhabi - Vocabulaire — Lieux,سِينِمَا,sīnimā,
cmo8hyi6u00gf4ey1dqizooz2,شَاطِئ,chaTi2,plage,Abu Dhabi - Vocabulaire — Lieux,شَاطِئ,shāṭiʾ,
cmo8hyi6u00ge4ey11gxepyk3,فُنْدُق,fndoq,hôtel,Abu Dhabi - Vocabulaire — Lieux,فُنْدُق,funduq,
cmo8hyi6u00gg4ey1fwgry6za,كْنِيسَة,knisa,église,Abu Dhabi - Vocabulaire — Lieux,كَنِيسَة,kanīsa,
cmo8hyi7300gr4ey12jbgiu5x,مَتْحَف,mata7af,musée,Abu Dhabi - Vocabulaire — Lieux,مَتْحَف,matḥaf,
cmo8hyi6u00gm4ey1polpcfbd,مَحَطَّة البَنْزِين,stasyon benzine,station-service,Abu Dhabi - Vocabulaire — Lieux,مَحَطَّةُ الوَقُودِ,maḥaṭṭatu al-wuqūdi,
cmo8hyi6u00ga4ey1tz0ris72,مَحَطَّة الطْرَام,ma7atat tram,station de tram,Abu Dhabi - Vocabulaire — Lieux,مَحَطَّةُ التِّرَامِ,maḥaṭṭatu at-tirāmi,
cmo8hyi6u00g84ey1rc7je332,مَحَطَّة الطُّوبِيس,ma7atat toubiis,arrêt de bus,Abu Dhabi - Vocabulaire — Lieux,مَوْقِفُ الحَافِلَةِ,mawqifu al-ḥāfilati,
cmo8hyi6u00gb4ey1wpj47qwk,مَحَطَّة القْطَار,ma7atat lqitar,gare,Abu Dhabi - Vocabulaire — Lieux,مَحَطَّةُ القِطَارِ,maḥaṭṭatu al-qiṭāri,
cmo8hyi6u00gj4ey1n6k9hj3m,مَحْكَمَة,ma7kama,tribunal,Abu Dhabi - Vocabulaire — Lieux,مَحْكَمَة,maḥkama,
cmo8hyi7300gs4ey1xf47412d,مَحَلّ,ma7al,magasin,Abu Dhabi - Vocabulaire — Lieux,مَحَلّ,maḥall,
cmo8hyi6u00g64ey14bxxbmwr,مْخْبْزَة,mkbza,boulangerie,Abu Dhabi - Vocabulaire — Lieux,مَخْبَزَة,makhbaza,
cmo8hyi6u00g24ey14fiyvp3m,مْدِينَة,mdina,ville,Abu Dhabi - Vocabulaire — Lieux,مَدِينَة,madīna,
cmo8hyi6u00g94ey1ipztgla6,مَرْجَان,marjan,supermarché,Abu Dhabi - Vocabulaire — Lieux,سُوبَرْمَارْكِت,sūbarmārkit,
cmo8hyi7300go4ey1rcb8ypss,مَرْكَز الشُّرْطَة,markaz chorta,commissariat,Abu Dhabi - Vocabulaire — Lieux,مَرْكَزُ الشُّرْطَةِ,markazu ash-shurṭati,
cmo8hyi7300gq4ey19erinacz,مَسْبَح,msba7,piscine,Abu Dhabi - Vocabulaire — Lieux,مَسْبَح,masbaḥ,
cmo8hyi6u00g54ey1x1dfuc21,مُسْتَشْفَى,mostachfa,hôpital,Abu Dhabi - Vocabulaire — Lieux,مُسْتَشْفَى,mustashfā,
cmo8hyi6u00gh4ey18w22oj88,مَسْجِد,msjid,mosquée,Abu Dhabi - Vocabulaire — Lieux,مَسْجِد,masjid,
cmo8hyi6u00gd4ey1mph15699,مَطْعَم,maT3am,restaurant,Abu Dhabi - Vocabulaire — Lieux,مَطْعَم,maṭʿam,
cmo8hyi6u00gc4ey1zac0fthe,مَقْهَى,qahwa,café,Abu Dhabi - Vocabulaire — Lieux,مَقْهَى,maqhā,
cmo8hyi6u00gl4ey171kuqbdq,مَلْعَب,mal3ab,stade,Abu Dhabi - Vocabulaire — Lieux,مَلْعَب,malʿab,
cmo8hyi6u00gn4ey1t22kterl,مَوْقِف السَّيَّارَات,mou9if sayarat,parking,Abu Dhabi - Vocabulaire — Lieux,مَوْقِفُ السَّيَّارَاتِ,mawqifu as-sayyārāti,
cmo8hyi6k00da4ey1gkdd25wf,أُوطُورُوت,autoroute,autoroute,Aden - Vocabulaire — Transport,طَرِيقٌ سَرِيعٌ,ṭarīqun sarīʿun,
cmo8hyi6j00cr4ey1g239tbzl,بَاخْرَة,bakhra,bateau,Aden - Vocabulaire — Transport,بَاخِرَة,bākhira,
cmo8hyi6j00cx4ey1wzfzzy63,بَارْكِينْغ,parking,parking,Aden - Vocabulaire — Transport,مَوْقِف,mawqif,
cmo8hyi6k00d34ey1rccrh882,بَنْزِين,benzine,essence,Aden - Vocabulaire — Transport,بِنْزِين,binzīn,
cmo8hyi6j00cs4ey1z3jod2w1,بِيكَالَا,bikala,vélo,Aden - Vocabulaire — Transport,دَرَّاجَة,darrāja,
cmo8hyi6j00cm4ey1n2qm0l2p,تْرَام,tram,tramway,Aden - Vocabulaire — Transport,تِرَام,tirām,
cmo8hyi6k00d94ey1i2yngmzi,جِسْر,jsr,pont,Aden - Vocabulaire — Transport,جِسْر,jisr,
cmo8hyi6k00df4ey17mqx03un,حَادِثَة,7aditha,accident,Aden - Vocabulaire — Transport,حَادِثَة,ḥāditha,
cmo8hyi6k00de4ey16t38grym,حْزَام السَّلَامَة,7zam ssalama,ceinture de sécurité,Aden - Vocabulaire — Transport,حِزَامُ الأَمَانِ,ḥizāmu al-amāni,
cmo8hyi6j00d04ey1dn12ablr,رَادَار,radar,radar,Aden - Vocabulaire — Transport,رَادَار,rādār,
cmo8hyi6j00d14ey1nwy6m9tg,رُخْصَة السْيَاقَة,rokhsa ssya9a,permis de conduire,Aden - Vocabulaire — Transport,رُخْصَةُ القِيَادَةِ,rukhṣatu al-qiyādati,
cmo8hyi6j00cy4ey1hj2b56kv,زَنْقَة,zanqa,rue,Aden - Vocabulaire — Transport,شَارِع,shāriʿ,
cmo8hyi6j00ch4ey1yvggg2sz,سَيَّارَة,sayyara,voiture (variante),Aden - Vocabulaire — Transport,سَيَّارَة,sayyāra,
cmo8hyi6k00dg4ey1chin4h3h,شُرْطَة المُرُور,chorta lmorour,police routière,Aden - Vocabulaire — Transport,شُرْطَةُ المُرُورِ,shurṭatu al-murūri,
cmo8hyi6j00cp4ey1ocmnrr4x,طَائِرَة,ta2ira,avion (variante),Aden - Vocabulaire — Transport,طَائِرَة,ṭāʾira,
cmo8hyi6j00ci4ey11d107io7,طَاكْسِي,taksi,taxi,Aden - Vocabulaire — Transport,سَيَّارَةُ أُجْرَةٍ,sayyāratu ujratin,
cmo8hyi6j00ck4ey1k8uemfpl,طَاكْسِي صْغِير,taksi sghir,petit taxi,Aden - Vocabulaire — Transport,سَيَّارَةُ أُجْرَةٍ صَغِيرَةٌ,sayyāratu ujratin ṣaghīratun,
cmo8hyi6j00cj4ey1jc7dehlg,طَاكْسِي كْبِير,taksi kbir,grand taxi,Aden - Vocabulaire — Transport,سَيَّارَةُ أُجْرَةٍ كَبِيرَةٌ,sayyāratu ujratin kabīratun,
cmo8hyi6j00cw4ey1djgvcrsb,طْرِيق,Triq,route,Aden - Vocabulaire — Transport,طَرِيق,ṭarīq,
