id,darija,translit_darija,fr,module,msa,translit_msa,notes
cmo8hyi6u00gi4ey16rv8jnwg,بَلَدِيَّة,baladiya,mairie,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g34ey1sojc7csu,دْوَار,douar,village,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g44ey1bwcndthk,سَاحَة,sa7a,place (publique),Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi7300gp4ey179ycrwmp,سِجْن,sjn,prison,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g74ey1sdcypmoa,سُوق,souq,marché,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gk4ey1jt0jd7s4,سِينِمَا,cinima,cinéma,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gf4ey1dqizooz2,شَاطِئ,chaTi2,plage,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00ge4ey11gxepyk3,فُنْدُق,fndoq,hôtel,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gg4ey1fwgry6za,كْنِيسَة,knisa,église,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi7300gr4ey12jbgiu5x,مَتْحَف,mata7af,musée,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gm4ey1polpcfbd,مَحَطَّة البَنْزِين,stasyon benzine,station-service,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00ga4ey1tz0ris72,مَحَطَّة الطْرَام,ma7atat tram,station de tram,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g84ey1rc7je332,مَحَطَّة الطُّوبِيس,ma7atat toubiis,arrêt de bus,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gb4ey1wpj47qwk,مَحَطَّة القْطَار,ma7atat lqitar,gare,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gj4ey1n6k9hj3m,مَحْكَمَة,ma7kama,tribunal,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi7300gs4ey1xf47412d,مَحَلّ,ma7al,magasin,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g64ey14bxxbmwr,مْخْبْزَة,mkbza,boulangerie,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g24ey14fiyvp3m,مْدِينَة,mdina,ville,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g94ey1ipztgla6,مَرْجَان,marjan,supermarché,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi7300go4ey1rcb8ypss,مَرْكَز الشُّرْطَة,markaz chorta,commissariat,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi7300gq4ey19erinacz,مَسْبَح,msba7,piscine,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00g54ey1x1dfuc21,مُسْتَشْفَى,mostachfa,hôpital,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gh4ey18w22oj88,مَسْجِد,msjid,mosquée,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gd4ey1mph15699,مَطْعَم,maT3am,restaurant,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gc4ey1zac0fthe,مَقْهَى,qahwa,café,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gl4ey171kuqbdq,مَلْعَب,mal3ab,stade,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6u00gn4ey1t22kterl,مَوْقِف السَّيَّارَات,mou9if sayarat,parking,Abu Dhabi - Vocabulaire — Lieux,,,
cmo8hyi6k00da4ey1gkdd25wf,أُوطُورُوت,autoroute,autoroute,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cr4ey1g239tbzl,بَاخْرَة,bakhra,bateau,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cx4ey1wzfzzy63,بَارْكِينْغ,parking,parking,Aden - Vocabulaire — Transport,,,
